歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
他... 是JJ林俊杰... Love~江南、害怕、小酒窝(solo)、背对背拥抱、她说,他是…JJ林俊杰,"
				他...是JJ林俊杰...Love 组曲
《江南》
就爱歌词网：www.9ilrc.com
不懂爱恨情愁煎熬的我们
都以为相爱就像风云的善变
相信爱一天 抵过永远
在这一刹那冻结了时间
不懂怎么表现温柔的我们
还以为殉情只是古老的传言
离愁能有多痛 痛有多浓
当梦被埋在江南烟雨中
心碎了才懂
《害怕》
我的爱 是说停不能停
已经浓的不能说是曾经
也可说成我是错的
爱未曾变成真的
也没谈到多少你需要的爱
我不再 去执着我是谁
或是我在夜里掉的眼泪
也可说我看不开的 为你我能做的
竟还没让你相信是爱情 左右你我
《小酒窝》
小酒窝长睫毛迷人的无可救药
我放慢了步调感觉像是喝醉了
终于找到心有灵犀的美好
一辈子暖暖的好 我永远爱你到老
《背对背拥抱》
我不要 一直到 形同陌路变成自找
既然可以拥抱 就不要轻易放掉
我们背对背拥抱
真话兜着圈子乱乱绕
只是想让我知道
只是想让你知道 这警告
《她说》
等不到天黑 烟火不会太完美
绿叶在跟随 放开刺痛的滋味
今后不再怕天明 我想只是害怕清醒
				",林俊杰,李瑞洵 / 王雅君 / 林怡凤 / 孙燕姿,林俊杰,蔡政勋 / 陈建玮 / 吴庆隆 / 林俊杰 / 吴剑泓,77,24
翅膀MV,他是…JJ林俊杰,"
				同样的机场 不同世界
同样的咖啡 不同味觉
同样的我和我 都少了一些
看飞机划过天空 不见了

用你给我的翅膀飞 我懂这不是伤悲
再高都不会累 我们都说好了
用你给我的翅膀飞 我感觉己够安慰
乌云也不再多 我们也不为谁掉眼泪

空气中藏着 你的香味
回忆里躲着 你的眼泪
最后拥抱的 温暖还有一些
我拖着行李往前 一直走

看一看回忆 是云朵 一朵朵的飘过
若想要回头 就无法翱翔


制作人：梁定江、黄元成、吴剑泓
制作协力：林宇中
原声吉他、电吉他：Shah Tahir
和声编写：林俊杰
和声：林俊杰
录音室：The Garden（新加坡）
录音师：黄元成、梁定江
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vannelli、Joe Primeau with 吴剑泓
OP：Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB670301203
				",林俊杰,张思尔,林俊杰,吴庆隆,4,13
不懂,他是…JJ林俊杰,"
				已经好远了 退也有一点累了
我们都不知道路有多远 走到何时才歇一歇
不如就现在吧 让我们都停下
但是在休息后 我们还不知道继续走的理由

雨都停了天都亮了 我们还不懂
这爱情路究竟带我们到什么地方
是要持续仍旧珍惜 还是回到原地
如今此刻的我的确是有一点疲倦


制作人：许环良、黄元成
制作协力：林宇中
钢琴改编、演奏：吴庆隆
录音室：The Garden（新加坡）、Atomic（新加坡）
录音师：许环良、Sean Chan
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vanelli、Joe Primeau with 许环良
OP：鸿石多媒体行销有限公司/Touch Music Publishing Pte Ltd., Compass
SP：Universal Ms Publ Ltd Taiwan/大潮音乐经纪有限公司
TW-B670301211
				",林俊杰,张思尔,林俊杰,吴庆隆,26,9
江南,他是…JJ林俊杰,"
				风到这里就是粘 粘住过客的思念
雨到了这里缠成线 缠着我们流连人世间
你在身边就是缘 缘分写在三生石上面
爱有万分之一甜 宁愿我就葬在这一点

圈圈圆圆圈圈 天天年年天天的我 深深看你的脸 
生气的温柔 埋怨的温柔的脸

不懂爱恨情愁煎熬的我们 都以为相爱就像风云的善变 
相信爱一天 抵过永远 在这一刹那冻结了时间 
不懂怎么表现温柔的我们 还以为殉情只是古老的传言 
离愁能有多痛 痛有多浓
当梦被埋在江南烟雨中 心碎了才懂


制作人：许环良
制作助理：冯时泽
萧：林信有
吉他：Shah Tahir
低音吉他：Gary Lao
和声编写：许环良
和声：林俊杰
录音室：The Garden（新加坡）
录音师：许环良、Acid Pang
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vanelli、Joe Primeau with 许环良
OP：大潮音乐经纪有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TW-B670401206
				",林俊杰,李瑞洵,林俊杰,蔡政勋 / 陈建玮,85,34
害怕,他是…JJ林俊杰,"
				我突然觉得有点怕 爱跟生活的一切
你以为我知道怎么拆开 我们的想法和落差

我的爱 是说停不能停 已经浓得不能说是曾经
也可说成我是错的 还未曾变成真的
也没谈到多少你需要的爱
我不再 去执着我是谁 或是我在夜里掉的眼泪
也可说我看不开的 为你我能做的
竟还没让你相信是爱情 左右你我

而哭泣都是因为爱 别逼自己不掉泪
这网里不只是有你 这网里我也撑着 拼了命地守着


制作人：林俊杰、毕晓世
配唱制作：许环良
助理制作：冯时泽
弦乐：北京海蝶弦乐团
录音室：The Garden（新加坡）、飞凡耳录音室（北京）
录音师：许环良、Acid Pang、李志伟
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vanelli、Joe Primeau with 许环良
OP：大潮音乐经纪有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TW-B670401207
				",林俊杰,李瑞洵,林俊杰,吴庆隆,54,21
一千年以后,他是…JJ林俊杰,"
				心跳乱了节奏 梦也不自由
爱是个绝对承诺 不说 撑到一千年以后

放任无奈 淹没尘埃 我在废墟之中守着你走来 喔
我的泪光承载不了 喔 所有一切你（需）要的爱

因为在一千年以后 世界早已没有我
无法深情挽着你的手 浅吻着你额头
别等到一千年以后 所有人都遗忘了我
那时红色黄昏的沙漠 能有谁解开缠绕千年的寂寞

喔 缠绕千年的寂寞


制作人：许环良、冯时泽
配唱制作：许环良
键盘：蔡政勋、陈建玮、许环良、David Koon
电吉他：Shah Tahir、Jamie Wilson
低音吉他：Andy Peterson
鼓：Gary Gideon
陶笛：Atman
和声编写：许环良
和声：林俊杰
录音室：The Garden（新加坡）、Synchrosoound Studio Sdn Bhd.（马来西亚）、The Home（台北）
录音师：Acid Pang、Peter Chong、Kelvin Tan Wei Jiun、Jacob Lin
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vanelli、Joe Primeau with 许环良
OP：孙逸仙文化股份有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB670501212
				",林俊杰,李瑞洵,林俊杰,蔡政勋 / 陈建玮 / 许环良 / David Koon,202,71
简简单单MV,他是…JJ林俊杰,"
				我们都是泡沫轻轻一碰就破 眼泪是爱的花火
昨天就像飞机穿过我的窗口 我什么都没有

我摊开了双手 你予取予求 直到你想自由
痛苦的时候我不会闪躲 就像树叶甘心为春风吹落

只是简简单单的爱过 我还是我
简简单单的伤过 就不算白活
简简单单的疯过 被梦带走
当故事结束之后 心也喜欢一个人寂寞


制作人：吴剑泓
原声吉他、电吉他：Kenn C
鼓：Gary Gideon
和声编写：林俊杰、吴剑泓
和声：林俊杰
录音室：The Garden（新加坡）、Synchrosoound Studio Sdn Bhd.（马来西亚）
录音师：Acid Pang、吴剑泓、Peter Chong、Kelvin Tan Wei Jiun
混音室：The Garden（新加坡）
混音师：Frank Lee with 吴剑泓
OP：EMI Music Publishing (S.E. ASIA) Ltd., Taiwan/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB670501207
				",林俊杰,向月娥 / 张思尔,林俊杰,Kenn C,72,38
原来,他是…JJ林俊杰,"
				街灯绊住我眼前 下一步 拉长的影子嘲弄的回顾
电话亭仍留着你的话 一句话 掉一滴泪
今晚的我会是如何入睡

原来最疼痛的表情竟是没有情绪
原来最残忍的画面可以甜言蜜语
我不懂得如何更爱你 影子讽刺地跟（着）我难分难离
原来最孤单的是我还是那么想你
原来最悲哀的是我不能面对自己
你收的干净 我也会不留一点痕迹

说故事也要像是真的 可是别触动那些回忆
今夜你说了最后一句 一句话 掉一滴泪
看来今晚的我很难入睡


制作人：梁定江、许环良
制作协力：林俊杰
吉他：Jamie Wilson、Shah Tahir
弦乐合奏：刘云志、刘志勇、程亚威、杨颖、李珂、郑凯林、董智敏、闫红、赵白桦、范维斌、马艳春、沈和群、王霖
和声编写：林俊杰、Gary Lao
和声：林俊杰
录音室：The Garden（新加坡）、The Home（台北）
录音师：Gary Lao、许环良、庄蔚义
弦乐合奏录音室：飞凡耳录音室（北京）
弦乐合奏录音师：李智伟
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vanelli、Joe Primeau with 林俊杰
OP：Befun Cooperation (Admin by EMI MP Taiwan)/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB670602205
				",林俊杰,林秋离 / 张思尔,林俊杰,吴庆隆,78,35
西界,他是…JJ林俊杰,"
				阳光越过窗沿 我在阴影里面
才过正午十三点 就漆黑一片
没有人看得见 我心深处的阴暗面

只能眺望东边 你的世界太远
撑到想象的极限 幸福有多甜
可黑夜已吞噬我 就是拉不到你的手

因为我活在西边 只拥有半个白天
一到午后夜色就蔓延
虽然和你面对面 却看不到我的脸
感觉到你不安的视线

在西界的那一边 只能有半个白天
暗自祈祷上天的垂怜
在长夜的边缘 给我一丝光线
让你能多看我一眼


制作人：林俊杰、许环良
制作协力：蔡政勋
键盘：蔡政勋、陈建玮
电吉他：Shah Tahir
BA-WU：陈悦
和声编写：许环良
和声：林俊杰、林倛玉、Andy Tsai
录音室：The Fire（新加坡）
录音师：许环良、Andy Tsai
混音室：Blue Moon Studio（加利福尼亚州）
混音师：Joe Vannelli、Stheve Shepherd wIth 林俊杰、许环良
OP：大潮音乐经纪有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
				",林俊杰,林秋离,林俊杰,蔡政勋 / 陈建玮,36,20
不流泪的机场,他是…JJ林俊杰,"
				地面灯火像星光闪耀
什么地方等着我降落停靠
走过一扇大门一座桥 
什么笑容值得我凝住心跳
往前跑的人需要 摆脱遗憾的药
回到教堂祈祷那一秒

爱是 三万里程的孤单
闪着等待的泪光 眺望可能的远方

爱是（爱知道） 再远都在你身旁
心疼了解的目光 不流泪的机场
累积（划下）或多或少的伤 或真或假的谎
只求不忘了我 最真的模样 最真的微笑

红灯闪烁停驻的街道
蓝天绿叶的熟悉不同面貌
一张床一个停靠
黑夜白昼颠倒
谁能解读脸上的微笑

短暂的来回奔跑
不曾解开的背包
我参与的人生太潦草
快乐常在门外绕
太多陌生的夜晚让我困扰
若你能了解 我会向你怀里靠

爱 三万里程的孤单
闪着等待的泪光 眺望可能的远方

喔爱 再远都在你身旁
心疼了解的目光 不流泪的机场
划下或多或少的伤 或真或假的谎
只求不忘了我 最真的模样 最真的微笑


制作人：林俊杰、吴剑泓
制作协力：毕晓世、冯时泽
弦乐编写：蔡政勋
吉他手：Jamie Wilson
贝斯：Kelly Wan
鼓手：Gary Gideon
弦乐合奏：中国国家交响乐团
和声编写：林俊杰
和声：林俊杰
录音室：Babyboss（马来西亚）、The Fire（新加坡）、飞凡耳录音棚（北京）
录音师：Peter Chong、Acid Pang、曾嵘
混音室：The Fire（新加坡）
混音师：Joe Lupo with 林俊杰、Acid Pang
OP：大潮音乐经纪有限公司/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
				",林俊杰,陈嘉文,林俊杰,蔡政勋,23,16
小酒窝 (独唱版)MV,他是…JJ林俊杰,"
				我还在寻找 一个依靠 和一个拥抱
谁替我祈祷 替我烦恼 为我生气为我闹

幸福开始有预兆 缘分让我们慢慢紧靠
然后孤单被吞没了 无聊变得有话聊 有变化了

小酒窝 长睫毛 是你最美的记号
我每天睡不着 想念你的微笑
你不知道 你对我多么重要
有了你 生命完整的刚好

小酒窝 长睫毛 迷人的无可救药
我放慢了步调 感觉像是喝醉了
终于找到 心有灵犀的美好
一辈子暖暖的好 我永远爱你到老


制作人：林俊杰、吴剑泓
制作协力：陈炯顺、冯时泽
和声编写：林俊杰、吴剑泓
和声：林俊杰
吉他：Jamie Wilson
录音室：The Fire（新加坡）、The Link（台北）
录音师：吴剑泓、许环良
混音室：The Fire（新加坡）
混音师：Joe Lupo with 吴剑泓
OP：Linfair Music Publishing Ltd.福茂著作权/Touch Music Publishing Pte Ltd., Compass
SP：大潮音乐经纪有限公司
TWB671206202
				",林俊杰,王雅君,林俊杰,林俊杰 / 吴剑泓,246,73
