歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
眼色MV,神秘嘉宾,"
				眼色
作词：李泉 / 小林
作曲：李泉
编曲：彭飞


人面狮身的谜语
已经被解开
莎士比亚的对白
不再精彩
伊利莎白泰勒的眼眶
流下埃及艳后古老的眼泪
拜拜 飞快而永远

只有身体在狂欢
心就没负担
耳朵被音乐塞满
抛向云端
没有什么不能 被改变
就像没有什么 值得被改变
一整夜 眨眼一瞬间

谁来烧热 我眼睛的黑色
谁能逃得出 我的催眠
我会让你 心甘情愿 把一切都给我
只要 看著我的双眼

谁来烧热 我眼睛的黑色
谁能止得住 我得干渴
我会让你 跌入 深不见底的快乐
无法 忘记我的双眼

只有身体在狂欢
心就没负担
耳朵被音乐塞满
抛向云端
没有什么不能 被改变
就像没有什么 值得被改变
一整夜 眨眼一瞬间

谁来烧热 我眼睛的黑色
谁能逃得出 我的催眠
我会让你 心甘情愿 把一切都给我
只要 看着我的双眼

谁来烧热 我眼睛的黑色
谁能止得住 我得干渴
我会让你 跌入 深不见底的快乐
无法 忘记我的双眼

无法 忘记我的双眼
				",林宥嘉,李泉 / 小林,李泉,彭飞,6241,1214
神秘嘉宾MV,神秘嘉宾,"
				神秘嘉宾
作词：陈信延
作曲：郑楠
编曲：郑楠


我踩着梦的阶梯 
走进了 一座迷雾森林
谁的心事 被天使窃听 
泛起涟漪

时间它帮我设计 下一秒 
谁是神秘嘉宾
小心翼翼 揭开了面具 
掌声鼓励

谁闯进我的场地 谁让我措手不及
我早就预备的剧情 你却给我一笔
狡猾地 致命地正中我红心

我跟谁变得亲密 谁逐渐离我远去
华丽演出共襄盛举 唯有你的背影
友情客串却留下刻骨铭心的回忆

你按了我的门铃 我终於 
从呵欠中苏醒
紧张兮兮 对你说一句 
欢迎光临

全场观众都离席 剩下我 
还在原地寻觅
耳边听着 谢幕的歌曲 
走不出去

谁闯进我的场地 谁让我措手不及
我早就预备的剧情 你却给我一笔
狡猾地 致命地正中我红心

我跟谁变得亲密 谁逐渐离我远去
华丽演出共襄盛举 唯有你的背影
友情客串却留下刻骨铭心的回忆

我搬到谁的隔壁 谁成了我的邻居
鸣谢生命有你参与 笑纳我的邀请
曲终人散却写下不会结束 的结局
				",林宥嘉,陈信延,郑楠,郑楠,45018,5719
爱情是圆的MV,神秘嘉宾,"
				爱情是圆的
作词：蓝小邪  
作曲：丁世光 
编曲：丁世光


从思念出发 路过了悲伤
下一站尽管幻想

邂逅了微笑 错过了绝望
每一站也算不孤单

挤在爱的路上看着人来人往
心还跳就不慌张

有一些梦边走边做行不行（行不行）
转几个弯再找到它行不行
因为地球是圆的
肯相信就能相遇
最美丽是一路上的脚印

从思念出发 路过了悲伤
下一站尽管幻想

邂逅了微笑 错过了绝望
每一站也算不孤单

挤在爱的路上看着人来人往
心还跳就不慌张

有一些梦边走边做行不行（行不行）
转几个弯再找到它行不行
因为地球是圆的
肯相信就能相遇
最美丽是一路上的脚印

就让我们站在 最远的距离
就让我们收下最多 的风景

有一些梦边走边做行不行（行不行）
转几个弯再找到它行不行
因为地球是圆的
肯相信就能相遇
最美丽是一路上的脚印

是谁 像我寻寻觅觅（她是谁）
转几个弯再找到她行不行
我想爱情是圆的
肯坚持就能相遇
最幸福是我们都不放弃
				",林宥嘉,蓝小邪,丁世光,丁世光,849,1061
伯乐MV,神秘嘉宾,"
				伯乐
作词：彭学斌
作曲：彭学斌
编曲：Terence Teo


爱你的那一个 伤你的那一个
谁才是你爱情中的伯乐
放弃了这一个 然后等待着下一个
最后哪一个让你最舍不得

感谢不能让别人来说
你给过我的　她们是做不到的
那时候的幸福是真的　虽然过去了
我们也都经历了

释怀教育着仇恨　和平劝着天下人
故事发生了便住下了　不管好的坏的
你让我成长了　就算是痛得值得

爱你的那一个　伤你的那一个
谁才是你爱情中的伯乐
放弃了这一个　然后等待着下一个
一个个过客过得快不快乐

爱你的那一个　伤你的那一个
谁才是你爱情中的伯乐
放弃了这一个　然后等待著下一个
别太多过客祝你早日快乐

离开时别忘了　看看眼前的人
流泪记住了　还是微笑祝福着
				",林宥嘉,彭学斌,彭学斌,Terence Teo,11838,1508
请说MV,神秘嘉宾,"
				坐着说 站着说 
你想要 说什么  
音量怎麼这样微弱 
空气都不能震动 哈  

你看我 看什么
我不是 常常说  
我要运动我在减重 
你不要再问我  晚餐要吃什么  

我要听你说 能不能告诉我  
借给你我耳朵 说 说 说  
我要听你说 能不能告诉我  
你说了什麼 我好像听过  

快点说 快点说 
说你觉得我真的不错  
我是我 你爱我 
多么高兴你认识我  

我要听你说 能不能告诉我 
画面这么生动 你在说什么 
我要听你说 能不能告诉我 
大门忘了锁 思绪在漫游  

我要听你说 你说了什么 
我在看你说 你说了好多  
我要听你说 你先别激动 
我在看你说 喝点水再说  

试试对镜子说 看你自己懂不懂 
反正你也总是说 走 走 排队的人多  
sorry我听不懂 下个人也许会懂 
开口闭口都在折磨我 该怎麼接收  

我不能接收 我不能接受
				",林宥嘉,林宥嘉,西楼,西楼,6790,1255
病态MV,神秘嘉宾,"
				病态
作词：林夕
作曲：Connie Li
编曲：吕圣斐


很奇怪 你没欠他债
付出一切也放不进他口袋
你不要 有心人的爱戴
只有他的敷衍才好算关怀

不应该 又像活该
不懂计算才能够投入恋爱
回报至上拥抱只是卖和买
不爱不错又太无奈

眼看你 哭著笑坐著等站著睡简直是病态
感性的灰烬沉沦无底的大海
你脸色 一时黑一时白一时红转变得真快
理智跟爱情屡战屡败
怕你的左脑开始腐坏

你脑袋 长满了青苔
平时精明的你在等待他屠宰
你宁愿 享受着给伤害
都不放手接受另一个青睞

不应该 又像活该
不曾快乐怎捨得为他悲哀
才看不到我在你身边发呆
在你的面前像个乞丐

我为你 哭着笑坐着等站着睡简直是病态
感性的灰烬沉沦无底的大海
我脸色 一时黑一时白一时红转变得真快
理智跟爱情屡战屡败

我们都 哭着笑坐着等站着睡简直是病态
感性的灰烬沉沦无底的大海
那脸色 一时黑一时白一时红转变得真快
理智跟爱情屡战屡败

我们的左脑开始腐坏
感情就是这点最精彩
				",林宥嘉,林夕,Connie Li,吕圣斐,1090,1060
残酷月光MV,神秘嘉宾,"
				让我爱你 然后把我抛弃
我只要出发 不要目的
我会一直想你 忘记了呼吸
孤独到底 让我昏迷

如果恨你 就能不忘记你
所有的面目 我都不抗拒
如果不够悲伤 就无法飞翔
可没有梦想 何必远方

我一直都在流浪
可我不曾见过海洋
我以为的遗忘
原来躺在你手上

我努力微笑坚强
寂寞筑成一道围墙
也敌不过夜里
最温柔的月光






制作人：陈小霞
配唱制作人：陈小霞
制作助理：张简君伟
鼓点：Anthony Fernandes
电贝司/吉他：Barry
钢琴：Wai Ming
弦乐：北京交响乐团成员
键盘/弦乐编曲：陈辉阳@好好笑
和声：林宥嘉
录音师：王家栋 KY
录音室：巴洛克录音室
混音录音师：王家栋
混音录音室：巴洛克录音室
				",林宥嘉,向月娥,陈小霞,陈辉阳@好好笑,87789,13847
慢一点MV,神秘嘉宾,"
				花如果一夜之间 开成花园  
麦如果两天酿成 十二年  
是很方便 但我们 又不是 没时间  
要这么方便 人干嘛 要活这 几十年  
别急著抵达终点 过程才是关键  
是那些琐碎细节 才最值得纪念  
就让我们慢一点 光阴已经似箭 多危险  
就请明天慢一点 每天度日如年 多新鲜  


梦如果上网下载 就能实现  
爱如果按下按键 就永远  
是很方便 但这样 会不会 太可怜  
要这么随便 把人生 弄得像 一碗泡面  
别急著跳到结尾 错过美好迂回  
没无关痛痒情节 结局就不珍贵  
就让我们慢一点 光阴已经似箭 多危险  
就请明天慢一点 每天度日如年 多新鲜  

慢一点 慢一点 留时间 给时间  
慢一点 慢一点 叫明天 等几天  
慢一点 慢一点 陪时间 荡秋千  
慢一点 慢一点 约从前 明天见
				",林宥嘉,施人诚,宋念宇,宋念宇,4444,1089
心有林夕,神秘嘉宾,"
				把灿烂的笑留给镜头记录
完美得让所有人嫉妒
把悲伤的歌麦克风加速
淘气得让人忘了孤独

还没落幕已经都麻木
快乐要展示到什么地步

多想有个林夕躲在心中描述
感情的起伏和不想掩饰的痛苦
感谢有个林夕在心中陪我哭
闪光灯亮时我的笑容
才能让旁观者满足

不可以疲倦也不能够认输
谁又想让所有人佩服
牵手或放手总有标准态度
来让别人羡慕或祝福

还没开始已经想谢幕
乐观要表演到什么分数

多想有个林夕躲在心中描述
感情的起伏和不想掩饰的痛苦
感谢有个林夕在心中陪我哭
闪光灯亮时我的笑容
才能让旁观者满足

多想有个林夕躲在心中描述
感情的起伏和不想掩饰的痛苦
感谢有个林夕在心中陪我哭
闪光灯亮时我的笑容
才能让旁观者满足

闪光灯亮时我的笑容
能不能让自己满足
				",林宥嘉,蓝小邪,郑楠,,16931,2229
再别康桥MV,神秘嘉宾,"
				林宥嘉 - 再别康桥 
  ★ 活在当下 制作 
 轻轻的我走了 
 正如我轻轻的来 
 我轻轻地招手 
 作别西天的云彩 
 那河畔的金柳 
 是夕阳中的新娘 
 波光里的艳影 
 在我心头荡漾 
 寻梦撑一支一支长篙 
 向青草更青处漫溯 
 满载一船一船星辉 
 在星辉斑斓里放歌 
 软泥上的青荇 
 油油的在水底招摇 
 在康河的柔波里 
 我甘心做一条水草 
 那榆阴下的一潭 
 不是清泉是天上虹 
 揉碎在浮藻间 
 沉淀着彩虹似的梦 
 但我不能不能放歌 
 悄悄是别离的笙箫 
 夏虫也为我为我沉默 
 沉默是今晚的康桥 
 悄悄的我走了走了 
 正如我悄悄的来 
 我挥一挥衣袖衣袖 
 不带走一片云彩 
  ★ 活在当下 制作 
  ★ 活在当下 制作
				",林宥嘉,徐志摩,西楼,西楼,15285,1827
