歌名,专辑名,歌词,演唱,作词,作曲,编曲,分享数,评论数
今天等我来 (Live)MV,DUO 陈奕迅2010演唱会,"
				听别人故事
如何的春风得意 也是人故事
我要走他乡一次 写故事一次
或是真真的不易 都想试一试

去吧 前去吧
沿途虽风霜冰冷
去吧 前去吧
纵使风吹得多猛
仍然要去闯怎都不怕
告世间昂然地我复还
今天等我来
就让我诚恳的心 把心声传来
大门若已开 若然是你在
愿你听到这个旅客原已归来
今天等我来
就让这游子的心写出好题材
大门若隔开 分隔开
愿我声音跨障碍
令到相识不多的这主题
变精彩
(和声: 当年人 孤单成行 彷如尘 空中浮沉 我要真的决心)
去吧 回去吧
从前的小子不怕
去吧 回去吧
我要使家乡惊叹
何时也要闯 闯出璀璨
告世间昂然地我复还
				",陈奕迅,劳双恩,柳重言,,928,233
好歌献给你 (Live)MV,DUO 陈奕迅2010演唱会,"
				歌声飘送千千里不计距离
歌声飘送万万里跨远地
歌声句句唱出愉快少年事
好歌一生伴着你
歌声飘送千千里不计距离
歌声飘送万万里跨远地
歌声句句唱出愉快少年事
好歌一生伴着你
好歌献给你
让爱藏心里
阳光在我心里照耀
光辉欢笑永伴随
好歌献给你
愿您藏心里
唯愿为你解去愁闷
快乐在歌声里
好歌献给你
让爱藏心里
阳光在我心里照耀
光辉欢笑永伴随
好歌献给你
愿您藏心里
唯愿为你解去愁闷
快乐在歌声里
好歌献给你
愿您藏心里
陪伴渡过黑暗长夜
我活在歌声里
啦啦啦啦啦~
				",陈奕迅,郑国江,马饲野康,,1409,212
落花流水 (Live)MV,DUO 陈奕迅2010演唱会,"
				歌名：落花流水（live 2010)
演唱：陈奕迅
专辑：duo 陈奕迅 2010演唱会
曲：Eric Kwok / Eason Chan
词：黄伟文

流水 像清得没带半颗沙
前身 被搁在上游风化
但那天经过那条提坝
斜阳又返照闪一下
遇上一朵　落花

相遇 就此拥着最爱归家
生活 别过份地童话化
故事 假使短过这五月落霞
没有需要　惊诧 
流水很清楚 惜花这个责任
真的身份不过送运
这趟旅行若算开心
亦是无负这一生
水点　蒸发变做白云
花瓣　飘落下游生根
淡淡交会过 各不留下印

流水 在山谷下再次分岔
惰感 渐化做淡然优雅
自觉心境已有如明镜
为何为天降的稀客　
泛过一点　浪花

天下 并非只是有这朵花
不用 为教事下文牵挂
要是 彼此都有些既定路程
学会洒脱　好吗 
流水很清楚 惜花这个责任
真的身份不过送运
这趟旅行若算开心
亦是无负这一生
水点　蒸发变做白云
花瓣　飘落下游生根
命运敲定了 要这麽发生
讲分开　可否不再　
用憾事的口吻
习惯无常　才会庆幸
讲真　天涯途上谁是客
散席时　怎麽分
流水很清楚 惜花这个责任
真的身份不过送运
这趟旅行若算开心
亦是无负这一生
水点　蒸发变做白云
花瓣　飘落下游生根
淡淡交会过 各不留下印
但是经历过 最温柔共震
				",陈奕迅,黄伟文,Eric Kwok / Eason Chan,,1451,198
囍帖街 (Live),DUO 陈奕迅2010演唱会,"
				囍帖街
作曲：Eric Kwok 填词：黄伟文
编曲/监制：Eric Kwok
原唱：谢安琪



忘掉种过的花　重新的出发　放弃理想吧
别再看　尘封的喜帖　你正在要搬家
筑得起　人应该接受　都有日倒下
其实没有一种安稳快乐　永远也不差

就似这一区　曾经称得上美满甲天下
但霎眼　全街的单位　快要住满乌鸦
好景不会每日常在　天梯不可只往上爬
爱的人没有一生一世吗　大概不需要害怕

(忘掉爱过的他) 当初的喜帖金箔印着那位他
裱起婚纱照那道墙 及一切美丽旧年华
明日同步拆下
(忘掉有过的家) 小餐枱梳化雪柜及两份红茶
温馨的光景不过借出　到期拿回吗
等不到下一代 是吗



忘掉砌过的沙　回忆的堡垒　刹那已倒下
面对这浮起的荒土　你注定学会潇洒
阶砖不会拒绝磨蚀　窗花不可幽禁落霞
有感情就会一生一世吗　又再婉惜有用吗

(忘掉爱过的他)　当初的喜帖金箔印着那位他
裱起婚纱照那道墙　及一切美丽旧年华
明日同步拆下
(忘掉有过的家)　小餐枱梳化雪柜及两份红茶
温馨的光景不过借出　到期拿回吗
终须会时辰到　别怕
请放下手里那锁匙　好吗
				",陈奕迅,黃偉文,ERIC  KWOK,Eric Kwok,7865,1258
七百年后 (Live)MV,DUO 陈奕迅2010演唱会,"
				陈奕迅 - 七百年后

作曲：柳重言
填词：林若宁
编曲：柳重言
监制：C Y/陈奕迅/Davy Chan/柳重言



你那太空舱 能够发出金色的光
我废置一方 抬头便会为你守望
一天天催迫生活在现代化
缤纷星空抛低我寄存繁荣垃圾缸
多得你原谅我肮脏

送你破黑胶 廉价发出歌声依稀
送你破灯泡 便宜地照亮你天地
一箱卡式带一直没落仍能回味
那套旧文艺戏
生生不息的凄美爱情逾越物质跨过世纪

文明能压碎 情怀不衰 无论枯乾山水
旧时年月投入垃圾里 你我一起同居
仍然能送你 儿时玩具 老地方抱着一起安睡
七百年 潮流里 瞬息过去


弃置那棵花 容我带它的根归家
送你这棵花 来怀念已逝去初夏
漆黑的星体花叶树木无从留下
你会在流泪吗
花开的沙丘滋养我们贫穷地方优美似画

文明能压碎 情怀不衰 无论枯乾山水
旧时年月投入垃圾里 你我一起同居
仍然能送你 儿时玩具 老地方抱着一起安睡
七百年 潮流里 建筑统统破碎


天天进化热潮已记不起
用霓虹去建设欢喜
虽则你我被每粒星唾弃
我们贫乏却去到金禧

文明能压碎 情怀不衰 无论枯乾山水
旧时年月投入垃圾里 你我一起同居
仍然能送你 儿时玩具 老地方抱着一起安睡
七百年 随年岁 记忆老去
仍然有你的忠心爱侣
				",陈奕迅,林若宁,柳重言,,723,104
约定 (Live)MV,DUO 陈奕迅2010演唱会,"
				还记得当天旅馆的门牌
还留住笑着离开的神态
当天整个城市
那样轻快
沿路一起走半里长街
还记得街灯照出一脸黄
还燃亮那份微温的便当
剪影的你轮廓太好看
凝住眼泪才敢细看
忘掉天地仿佛也想不起自己
仍未忘相约看漫天黄叶远飞
就算会与你分离 凄绝的戏
要决心忘记我便记不起
明日天地只恐怕认不出自己
仍未忘跟你约定假如没有死
就算你壮阔胸膛 不敌天气
两鬓斑白都可认得你
还记得当天吉他的和弦
还明白每段旋律的伏线
当天街角流过你声线
沿路旅程如歌褪变
忘掉天地仿佛也想不起自己
仍未忘相约看漫天黄叶远飞
就算会与你分离凄绝的戏
要决心忘记我便记不起
明日天地只恐怕认不出自己
仍未忘跟你约定假如没有死
就算你壮阔胸膛不敌天气
两鬓斑白都可认得你
就算你壮阔胸膛不敌天气
两鬓斑白都可认得你
				",陈奕迅,林夕,陈小霞,陈伟文,18063,2767
寂寞夜晚 (Live)MV,DUO 陈奕迅2010演唱会,"
				泪滴染湿了迷蒙两眼 
让万缕思念长怀心间 
想转身偏要依恋多一眼 

未问你心内何时会冷 
望着我的路漫长孤单 
感慨中握你双手叹聚散 

啊偶然遇见 
无谓带泪风中呼喊 
啊有缘复见 
但愿爱没一分褪减 

落寞寂寞的一个夜晚 
重投平凡再见梦幻 
但愿是潇洒告别 
休说可归返 

断断续续的千个夜晚 
无穷浓情怕会渐淡 
静默地拭干了泪 
一切请珍惜一切将吹散 

泪滴染湿了迷蒙两眼 
让万缕思念长怀心间 
想转身偏要依恋多一眼 

未问你心内何时会冷 
望着我的路漫长孤单 
感慨中握你双手叹聚散 

啊偶然遇见 
无谓带泪风中呼喊 
啊有缘复见 
但愿爱没一分褪减 

落寞寂寞的一个夜晚 
重投平凡再见梦幻 
但愿是潇洒告别 
休说可归返 

断断续续的千个夜晚 
无穷浓情怕会渐淡 
静默地拭干了泪 
一切请珍惜一切将吹散 

落寞寂寞的一个夜晚 
重投平凡再见梦幻 
但愿是潇洒告别 
休说可归返 

断断续续的千个夜晚 
无穷浓情怕会渐淡 
静默地拭干了泪 
一切请珍惜一切将吹散
				",陈奕迅,,,,1855,312
浮夸 (Live)MV,DUO 陈奕迅2010演唱会,"
				浮夸
作曲: C.Y. Kong
填词: 黄伟文
编曲：C.Y. in Londonl
监制：Alvin Leong
有人问我 我就会讲
但是无人来 我期待
到无奈 有话要讲
得不到装载
我的心情犹像樽盖 等被揭开
咀巴却在养青苔 人潮内
愈文静 愈变得 不受理睬
自己要搞出意外 像突然
地高歌 任何地方也像开四面台
着最闪的衫 扮十分感慨
有人来拍照要记住插袋
你当我是浮夸吧
夸张只因我很怕 似木头
似石头 的话 得到注意吗
其实怕被忘记 至放大来演吧
很不安 怎去优雅
世上还赞颂沉默吗 不够爆炸
怎麽有话题 让我夸做大娱乐家
那年十八 母校舞会
站着如喽罗
那时候 我含泪发誓各位
必须看到我 在世间
平凡又普通的路太多
屋村你住哪一座 情爱中
工作中 受过的忽视太多
自尊已饱经跌堕 重视能治肚饿
末曾获得过便知我为何
大动作很多 犯下这些错
搏人们看看我 算病态麽
幸运儿并不多　
若然未当过就知我为何
用十倍苦心做突出一个　
正常人够我富议论性麽
你叫我做浮夸吧
加几声嘘声也不怕 我在场
有闷场的话 表演你看吗
够歇斯底里 吗 以眼泪淋花吧
一心只想你惊讶
我旧时似未存在吗 加重注码
青筋 也现形 话我知
现在存在吗 凝视我
别再只看天花 我非你杯茶
也可尽情地喝吧
别遗忘有人在 为你 声沙
本站歌词来自互联网
				",陈奕迅,黄伟文,C.Y. Kong,C.Y. kong,1596,486
无人之境 (Live)MV,DUO 陈奕迅2010演唱会,"
				陈奕迅 - 无人之境

作曲: Eric Kwok   填词: 黄伟文



让理智在叫着冷静冷静 还恃住年少气盛
让我对着冲动背着宿命 浑忘自己的姓
沉睡的凶猛在苏醒 完全为你现形
这个世界最坏罪名 叫太易动情 但我喜欢这罪名

惊天动地 只可惜天地亦无情
不敢有风 不敢有声 这爱情无人证
飞天遁地 贪一刻的乐极忘形
好想说谎 不眨眼睛 这爱情无人性

若世界陷进大骗局里面 朋友亦难以发现
共你隔着空在秘密通电 挑战道德底线
如若早三五年相见 何来内心交战
我信与你继续乱缠 难再有发展 但我想跟你乱缠

惊天动地 只可惜天地亦无情
不敢有风 不敢有声 这爱情无人证
飞天遁地 贪一刻的乐极忘形
好想说谎 不眨眼睛 似进入无人境

即使间整个约会情调幽暗似地下城
还是算温馨 多麽想跟你散步桥上把臂看着风景
但是我清醒 月亮总不肯照亮情慾深处那道背影
你我像快快乐乐同游在异境 浪漫到一起惹绝症
不想说明 只想反应
				",陈奕迅,"黃, 偉文","KWOK, ERIC",,2420,400
夕阳无限好 (Live)MV,DUO 陈奕迅2010演唱会,"
				多经典的歌后 
一刹眼已走 
缠绵着青葱的山丘 
转眼变蚁丘 
这个刹那宇宙 
拒绝永久 
世事无常还是未看够 
还未看透 
多好玩的东西 
早晚会放低 
从前并肩的好兄弟 
可会撑到底 
爱侣爱到一个地步 
便另觅安慰 
枉当初苦苦送礼 
最艳的花卉 
最后化烂泥 
夕阳无限好 
天色已黄昏 
本想去凭爱 
去换最灿烂一生 
想不到长吻 
带来更永恒伤感 
夕阳无限好 
却是近黄昏 
高峰的快感 
刹那失憾 
风花雪月不肯等人 
要献便献吻 
多风光的海岛 
一秒变废土 
长存在心底的倾慕 
可会够细数 
每秒每晚彷似大盗 
偷走的青春一天天变老 
只可追忆到 
想追追不到 
夕阳无限好 
天色已黄昏 
本想去凭爱 
去换最灿烂一生 
想不到长吻 
带来更永恒伤感 
夕阳无限好 
却是近黄昏 
高峰的快感 
刹那失陷 
风花雪月不肯等人 
要献便献吻 
好风景多的是 
夕阳平常事 
然而每天眼见的 
永远不相似
				",陈奕迅,林夕,Eric Kwok,,804,126
